,y,x,y_test_pred
4843,10.287821044086202,76.54872421061148,21.84261
5041,10.288899022427147,76.54899370519671,17.025295
5042,10.28862952784191,76.54899370519671,23.802568
5043,10.288360033256675,76.54899370519671,23.337437
5044,10.288090538671439,76.54899370519671,23.538332
5045,10.287821044086202,76.54899370519671,22.540651
5243,10.288899022427147,76.54926319978195,16.15248
5244,10.28862952784191,76.54926319978195,23.337437
5245,10.288360033256675,76.54926319978195,23.337437
5246,10.288090538671439,76.54926319978195,23.2161
5247,10.287821044086202,76.54926319978195,23.2161
5248,10.287551549500966,76.54926319978195,23.06696
5249,10.287282054915732,76.54926319978195,15.378415
5447,10.288360033256675,76.54953269436719,23.9195
5448,10.288090538671439,76.54953269436719,22.986944
5449,10.287821044086202,76.54953269436719,22.986944
5450,10.287551549500966,76.54953269436719,22.972347
5451,10.287282054915732,76.54953269436719,15.353813
5452,10.287012560330496,76.54953269436719,15.404958
5650,10.288090538671439,76.54980218895243,24.759315
5651,10.287821044086202,76.54980218895243,24.889622
5652,10.287551549500966,76.54980218895243,24.13296
5653,10.287282054915732,76.54980218895243,22.278715
5654,10.287012560330496,76.54980218895243,23.613321
5655,10.28674306574526,76.54980218895243,16.092005
5853,10.287821044086202,76.55007168353765,25.01991
5854,10.287551549500966,76.55007168353765,24.314146
5855,10.287282054915732,76.55007168353765,22.956167
5856,10.287012560330496,76.55007168353765,22.807228
5857,10.28674306574526,76.55007168353765,23.938625
6055,10.287821044086202,76.55034117812289,17.195549
6056,10.287551549500966,76.55034117812289,25.01991
6057,10.287282054915732,76.55034117812289,22.954374
6058,10.287012560330496,76.55034117812289,22.89845
6059,10.28674306574526,76.55034117812289,24.035969
6258,10.287551549500966,76.55061067270813,17.182373
6259,10.287282054915732,76.55061067270813,24.816448
6260,10.287012560330496,76.55061067270813,21.76217
6261,10.28674306574526,76.55061067270813,23.773052
6461,10.287282054915732,76.55088016729337,17.185076
6462,10.287012560330496,76.55088016729337,24.978155
6463,10.28674306574526,76.55088016729337,22.940844
6664,10.287012560330496,76.5511496618786,17.185076
6665,10.28674306574526,76.5511496618786,23.966888
6867,10.28674306574526,76.55141915646384,17.127283
17546,10.294019419546627,76.56570236948134,21.800459
17547,10.293749924961391,76.56570236948134,22.00317
17747,10.294288914131863,76.56597186406657,15.836399
17748,10.294019419546627,76.56597186406657,14.373047
17749,10.293749924961391,76.56597186406657,14.79063
17750,10.293480430376155,76.56597186406657,14.680058
17751,10.29321093579092,76.56597186406657,22.535942
17752,10.292941441205684,76.56597186406657,22.786818
17753,10.292671946620448,76.56597186406657,22.00317
17948,10.2945584087171,76.56624135865181,16.670856
17949,10.294288914131863,76.56624135865181,15.843775
17950,10.294019419546627,76.56624135865181,15.874697
17951,10.293749924961391,76.56624135865181,14.833416
17952,10.293480430376155,76.56624135865181,21.909084
17953,10.29321093579092,76.56624135865181,22.692734
17954,10.292941441205684,76.56624135865181,22.598742
17955,10.292671946620448,76.56624135865181,21.537973
17956,10.292402452035212,76.56624135865181,15.20356
18149,10.294827903302336,76.56651085323705,14.42014
18150,10.2945584087171,76.56651085323705,21.483257
18151,10.294288914131863,76.56651085323705,22.728786
18152,10.294019419546627,76.56651085323705,22.645405
18153,10.293749924961391,76.56651085323705,22.629179
18154,10.293480430376155,76.56651085323705,24.035969
18155,10.29321093579092,76.56651085323705,22.547003
18156,10.292941441205684,76.56651085323705,22.641905
18157,10.292671946620448,76.56651085323705,14.444155
18158,10.292402452035212,76.56651085323705,15.364023
18350,10.29509739788757,76.56678034782227,21.575089
18351,10.294827903302336,76.56678034782227,22.669342
18352,10.2945584087171,76.56678034782227,22.778803
18353,10.294288914131863,76.56678034782227,22.786818
18354,10.294019419546627,76.56678034782227,22.692734
18355,10.293749924961391,76.56678034782227,22.835903
18356,10.293480430376155,76.56678034782227,22.552841
18357,10.29321093579092,76.56678034782227,21.357908
18358,10.292941441205684,76.56678034782227,21.167164
