,sen_B1,sen_B2,sen_B3,sen_B4,sen_B5,sen_B6,sen_B7,sen_B8,sen_B8A,sen_B9,sen_B11,sen_B12,land_B1,land_B2,land_B3,land_B4,land_B5,land_B6,land_B7,bathy,lat,lon
20,0.03315,0.0281,0.03055,0.01755,0.01925,0.013,0.0134,0.0134,0.01305,0.01135,0.04715,0.0133,-0.014155000000000001,-0.0012574999999999947,0.024125000000000008,0.013427500000000009,0.03669249999999999,0.026242500000000002,0.020219999999999988,11.67,10.305317091109798,76.82876008587792
21,0.0255,0.0286,0.0287,0.0196,0.0221,0.0154,0.0156,0.0156,0.0146,0.0171,0.0922,0.022,0.02437249999999999,0.031027499999999986,0.04290749999999999,0.033007499999999995,0.03925000000000001,0.02990000000000001,0.024125000000000008,30.77375,10.3053812682711,76.78571598085242
22,0.0334,0.0287,0.0304,0.0173,0.0186,0.01435,0.0135,0.0135,0.01555,0.01285,0.04335,0.01435,-0.006482500000000002,0.006497499999999989,0.033805,0.02162249999999999,0.05764750000000002,0.042027499999999995,0.03298000000000001,9.55,10.30541040671658,76.8282286926199
23,0.0334,0.0287,0.0304,0.0173,0.0186,0.01435,0.0135,0.0135,0.01555,0.01285,0.04335,0.01435,-0.006482500000000002,0.006497499999999989,0.033805,0.02162249999999999,0.05764750000000002,0.042027499999999995,0.03298000000000001,9.14,10.305401150656003,76.82826688865813
24,0.0334,0.0285,0.0312,0.01735,0.01885,0.013,0.0137,0.0137,0.0144,0.01305,0.04335,0.01415,-0.013330000000000009,-0.00023999999999999022,0.025005,0.013784999999999992,0.03949749999999999,0.026902499999999996,0.02145749999999999,7.83,10.30540900830462,76.82849195734428
25,0.03315,0.0281,0.03055,0.01755,0.01925,0.013,0.0134,0.0134,0.01305,0.01135,0.04715,0.0133,-0.014155000000000001,-0.0012574999999999947,0.024125000000000008,0.013427500000000009,0.03669249999999999,0.026242500000000002,0.020219999999999988,11.325,10.305340754239598,76.82880789717582
26,0.03315,0.0284,0.0304,0.0177,0.0189,0.0133,0.01205,0.01205,0.01185,0.0108,0.04715,0.0128,-0.013550000000000006,-0.0007900000000000129,0.024180000000000007,0.013069999999999998,0.0354825,0.024895,0.018735,11.868,10.305384424166258,76.82890025343332
27,0.03315,0.0284,0.0304,0.0177,0.0189,0.0133,0.01205,0.01205,0.01185,0.0108,0.04715,0.0128,-0.013550000000000006,-0.0007900000000000129,0.024180000000000007,0.013069999999999998,0.0354825,0.024895,0.018735,12.97,10.305413295346781,76.82896466800827
28,0.0255,0.0286,0.0287,0.0196,0.0221,0.0154,0.0156,0.0156,0.0146,0.0171,0.0922,0.022,0.02437249999999999,0.031027499999999986,0.04290749999999999,0.033007499999999995,0.03925000000000001,0.02990000000000001,0.024125000000000008,29.9625,10.305467028000642,76.78571571072311
29,0.03415,0.02895,0.0312,0.01715,0.01865,0.0129,0.0154,0.0154,0.0141,0.0138,0.04695,0.01355,0.0020699999999999885,0.01331750000000001,0.03641749999999999,0.027865,0.07483499999999998,0.05165249999999999,0.03914000000000001,12.08125,10.305481743537005,76.82809690839429
30,0.0334,0.0287,0.0304,0.0173,0.0186,0.01435,0.0135,0.0135,0.01555,0.01285,0.04335,0.01435,-0.006482500000000002,0.006497499999999989,0.033805,0.02162249999999999,0.05764750000000002,0.042027499999999995,0.03298000000000001,11.43,10.305429246781364,76.82817956692543
31,0.0334,0.0285,0.0312,0.01735,0.01885,0.013,0.0137,0.0137,0.0144,0.01305,0.04335,0.01415,-0.013330000000000009,-0.00023999999999999022,0.025005,0.013784999999999992,0.03949749999999999,0.026902499999999996,0.02145749999999999,7.89,10.305418226390602,76.82852441752237
32,0.03315,0.0281,0.03055,0.01755,0.01925,0.013,0.0134,0.0134,0.01305,0.01135,0.04715,0.0133,-0.014155000000000001,-0.0012574999999999947,0.024125000000000008,0.013427500000000009,0.03669249999999999,0.026242500000000002,0.020219999999999988,7.975714285714287,10.305455885855865,76.8285995686113
33,0.0341,0.02855,0.0308,0.0175,0.0186,0.0121,0.0122,0.0122,0.0115,0.01075,0.04205,0.01315,-0.015199999999999991,-0.003154999999999991,0.025224999999999997,0.015847499999999987,0.04277,0.031055,0.022749999999999992,8.163333333333334,10.305501969316564,76.82865729763323
34,0.03315,0.0284,0.0304,0.0177,0.0189,0.0133,0.01205,0.01205,0.01185,0.0108,0.04715,0.0128,-0.013550000000000006,-0.0007900000000000129,0.024180000000000007,0.013069999999999998,0.0354825,0.024895,0.018735,13.229999999999999,10.305431819369652,76.82900871451146
35,0.03315,0.0284,0.0304,0.0177,0.0189,0.0133,0.01205,0.01205,0.01185,0.0108,0.04715,0.0128,-0.013550000000000006,-0.0007900000000000129,0.024180000000000007,0.013069999999999998,0.0354825,0.024895,0.018735,11.37,10.305464467732868,76.8290915103037
36,0.03435,0.02815,0.02975,0.0173,0.0194,0.0122,0.01295,0.01295,0.00985,0.0116,0.04265,0.0128,-0.011102500000000015,0.001052499999999984,0.0265175,0.01639750000000001,0.03658249999999999,0.025142499999999984,0.019394999999999996,10.4575,10.30550175107754,76.82918860410783
37,0.0255,0.028,0.0292,0.0198,0.0211,0.014,0.0138,0.0138,0.014,0.0147,0.0922,0.0222,0.0174975,0.025499999999999995,0.03630749999999999,0.026489999999999986,0.035097500000000004,0.026654999999999984,0.021155000000000007,28.57,10.305562649862976,76.78570839512865
38,0.0347,0.02795,0.0312,0.0178,0.0206,0.0122,0.0188,0.0188,0.0199,0.01495,0.10815,0.01815,0.01243749999999999,0.026682499999999998,0.05071749999999997,0.04194500000000001,0.11735000000000001,0.08366249999999997,0.06188250000000001,12.026666666666666,10.305555825533125,76.82803253288233
39,0.0347,0.02795,0.0312,0.0178,0.0206,0.0122,0.0188,0.0188,0.0199,0.01495,0.10815,0.01815,0.01243749999999999,0.026682499999999998,0.05071749999999997,0.04194500000000001,0.11735000000000001,0.08366249999999997,0.06188250000000001,12.045,10.305530347733859,76.82804849821457
40,0.0341,0.02855,0.0308,0.0175,0.0186,0.0121,0.0122,0.0122,0.0115,0.01075,0.04205,0.01315,-0.015199999999999991,-0.003154999999999991,0.025224999999999997,0.015847499999999987,0.04277,0.031055,0.022749999999999992,8.235454545454546,10.305569105883498,76.82870590397286
41,0.03435,0.02815,0.02975,0.0173,0.0194,0.0122,0.01295,0.01295,0.00985,0.0116,0.04265,0.0128,-0.011102500000000015,0.001052499999999984,0.0265175,0.01639750000000001,0.03658249999999999,0.025142499999999984,0.019394999999999996,11.174999999999999,10.305548853946272,76.82928906375406
42,0.03435,0.02815,0.02975,0.0173,0.0194,0.0122,0.01295,0.01295,0.00985,0.0116,0.04265,0.0128,-0.011102500000000015,0.001052499999999984,0.0265175,0.01639750000000001,0.03658249999999999,0.025142499999999984,0.019394999999999996,12.475000000000001,10.305596992127217,76.82936764324921
43,0.0255,0.028,0.0292,0.0198,0.0211,0.014,0.0138,0.0138,0.014,0.0147,0.0922,0.0222,0.0174975,0.025499999999999995,0.03630749999999999,0.026489999999999986,0.035097500000000004,0.026654999999999984,0.021155000000000007,26.665555555555553,10.305664561292673,76.78569326297765
44,0.0341,0.02855,0.0308,0.0175,0.0186,0.0121,0.0122,0.0122,0.0115,0.01075,0.04205,0.01315,-0.015199999999999991,-0.003154999999999991,0.025224999999999997,0.015847499999999987,0.04277,0.031055,0.022749999999999992,8.15,10.305626832341348,76.82873905060896
45,0.0341,0.02855,0.0308,0.0175,0.0186,0.0121,0.0122,0.0122,0.0115,0.01075,0.04205,0.01315,-0.015199999999999991,-0.003154999999999991,0.025224999999999997,0.015847499999999987,0.04277,0.031055,0.022749999999999992,8.3275,10.30567209671798,76.82876168852778
46,0.03435,0.02775,0.0304,0.01715,0.01845,0.0123,0.01155,0.01155,0.0096,0.01045,0.04265,0.01305,-0.0021650000000000003,0.009137499999999993,0.029872499999999996,0.0203025,0.039635000000000004,0.027342499999999992,0.021485000000000004,12.7025,10.305635925774116,76.8294207004732
47,0.03435,0.02775,0.0304,0.01715,0.01845,0.0123,0.01155,0.01155,0.0096,0.01045,0.04265,0.01305,-0.0021650000000000003,0.009137499999999993,0.029872499999999996,0.0203025,0.039635000000000004,0.027342499999999992,0.021485000000000004,11.482857142857142,10.305688523810037,76.82948328154467
48,0.0263,0.03,0.0283,0.0202,0.0217,0.013,0.0138,0.0138,0.0143,0.015,0.0916,0.0219,0.011887499999999995,0.019284999999999997,0.03501499999999999,0.024180000000000007,0.032759999999999984,0.024510000000000004,0.0203575,24.799999999999997,10.305766112492295,76.7856752828798
49,0.0341,0.0292,0.0308,0.0186,0.01835,0.012,0.01155,0.01155,0.01165,0.01105,0.04205,0.0131,-0.01759250000000001,-0.0014224999999999932,0.027260000000000006,0.0172225,0.047032500000000005,0.03383249999999999,0.028112499999999985,9.617,10.305763342739468,76.82881160820858
50,0.0341,0.0292,0.0308,0.0186,0.01835,0.012,0.01155,0.01155,0.01165,0.01105,0.04205,0.0131,-0.01759250000000001,-0.0014224999999999932,0.027260000000000006,0.0172225,0.047032500000000005,0.03383249999999999,0.028112499999999985,10.68,10.305817773693823,76.82884823633844
51,0.03435,0.02775,0.0304,0.01715,0.01845,0.0123,0.01155,0.01155,0.0096,0.01045,0.04265,0.01305,-0.0021650000000000003,0.009137499999999993,0.029872499999999996,0.0203025,0.039635000000000004,0.027342499999999992,0.021485000000000004,9.715,10.3057304351156,76.8295293301083
52,0.03435,0.02775,0.0303,0.0182,0.01845,0.01235,0.0122,0.0122,0.01105,0.01215,0.04265,0.01365,-0.007005000000000011,0.0032250000000000056,0.022584999999999994,0.017057500000000003,0.0418625,0.031164999999999998,0.022199999999999998,8.6875,10.30578032363286,76.82958148066365
53,0.0263,0.03,0.0283,0.0202,0.0217,0.013,0.0138,0.0138,0.0143,0.015,0.0916,0.0219,0.011887499999999995,0.019284999999999997,0.03501499999999999,0.024180000000000007,0.032759999999999984,0.024510000000000004,0.0203575,23.103,10.305871875931608,76.7856621263009
54,0.0341,0.0289,0.03095,0.01835,0.01835,0.0115,0.01185,0.01185,0.0107,0.01115,0.04205,0.0133,-0.024715000000000015,-0.008105000000000001,0.01988999999999999,0.011007500000000003,0.03473999999999999,0.024345000000000006,0.018955,11.26,10.305869171323987,76.82889531766149
